Year,Rice,Maize,Wheat,Gram,Arhar,Moong,Ground Nuts,Mustard,Cotton,Sugarcane
2005,91793,14710,69355,5600,2738,5046,7993,8131,18499,281172
2006,93355,15097,75807,6334,2314,5550,4864,7438,22632,355520
2007,96693,18955,78570,5749,3076,5937,9183,5834,25884,348188
2008,99172,19731,80679,7060,2266,5240,7168,7201,22276,285029
2009,89083,16720,80804,7476,2465,4720,5428,6608,24022,292302
2010,95970,21726,86874,8221,2861,7159,8266,8179,33000,342382
2011,105301,21759,94882,7702,2654,6733,6964,6604,35200,361037
2012,105241,22258,93506,8833,3023,6486,4694,8029,34220,341200
2013,106646,24259,95850,9526,3174,6555,9714,7877,35902,352142
2014,105482,24173,86527,7332,2807,7013,7402,6282,34805,362333
2015,104320,21810,93500,7170,2460,6840,6771,6821,30147,342667
