Crop,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Rice,91793,93355,96693,99172,89083,95970,105301,105241,106646,105482,104320
Maize,14710,15097,18955,19731,16720,21726,21759,22258,24259,24173,21810
Wheat,69355,75807,78570,80679,80804,86874,94882,93506,95850,86527,93500
Gram,5600,6334,5749,7060,7476,8221,7702,8833,9526,7332,7170
Arhar,2738,2314,3076,2266,2465,2861,2654,3023,3174,2807,2460
Moong,5046,5550,5937,5240,4720,7159,6733,6486,6555,7013,6840
Ground Nuts,7993,4864,9183,7168,5428,8266,6964,4694,9714,7402,6771
Mustard,8131,7438,5834,7201,6608,8179,6604,8029,7877,6282,6821
Cotton ,18499,22632,25884,22276,24022,33000,35200,34220,35902,34805,30147
Sugercane,281172,355520,348188,285029,292302,342382,361037,341200,352142,362333,342667
